0.88116,0.06275,-0.01789,0.25605
0.87915,0.12918,-0.00794,0.26981
0.87760,0.17722,-0.01498,0.32420
0.86804,0.45051,-0.09032,0.84295
0.86455,0.60094,-0.01524,0.55529
0.85413,0.95121,0.06417,0.19569
0.87549,0.88431,0.15087,-0.29080
0.90689,0.74511,0.13130,-0.35833
0.94094,0.65930,0.07674,-0.34981
0.96759,0.55270,0.00482,-0.26697
0.97410,0.47409,-0.06734,-0.14547
0.92137,0.45943,-0.20376,0.05035
0.85818,0.49219,-0.26997,0.12678
0.74944,0.56258,-0.39427,0.20091
0.57303,0.67069,-0.46677,0.14722
0.43139,0.71730,-0.48747,0.07081
0.26203,0.72486,-0.40409,-0.08831
0.12591,0.66280,-0.27316,-0.20041
0.05398,0.55290,-0.11522,-0.21431
0.02052,0.47240,-0.03918,-0.12312
0.01184,0.44117,0.03702,0.05230
0.03532,0.49002,0.10357,0.23614
0.06700,0.57971,0.19177,0.34310
0.10083,0.68404,0.46129,0.52026
0.17136,0.75669,0.39140,0.33494
0.20688,0.80157,0.59946,0.46189
0.25298,0.86038,0.58537,0.30763
0.37915,0.93997,0.69787,0.11201
0.46274,0.95744,0.72408,-0.06013
0.55839,0.93522,0.63767,-0.26905
0.59305,0.92337,0.56308,-0.33668
0.74586,0.78789,0.34555,-0.54661
0.79465,0.70164,0.34524,-0.76039
0.84121,0.38962,0.13424,-0.65689
0.85590,0.27371,0.09561,-0.84176
0.88135,0.04198,0.01633,-0.10310
