# X, Y, VelX, VelY |[ 24.;142.;  0.;  0.][288.;298.; 22.; 30.]
0.00000,0.40268,0.00000,0.40000
0.00000,0.44295,0.09091,0.33333
0.00694,0.47651,0.09091,0.33333
0.01389,0.51007,0.27273,0.60000
0.03472,0.57047,0.09091,0.26667
0.04167,0.59732,0.54545,0.73333
0.08333,0.67114,0.27273,0.26667
0.10417,0.69799,0.27273,0.40000
0.12500,0.73826,0.63636,0.66667
0.17361,0.80537,0.27273,0.20000
0.19444,0.82550,0.81818,0.60000
0.25694,0.88591,0.36364,0.13333
0.28472,0.89933,0.63636,0.33333
0.33333,0.93289,0.54545,0.20000
0.37500,0.95302,0.90909,0.13333
0.44444,0.96644,0.45455,0.00000
0.47917,0.96644,1.00000,-0.13333
0.55556,0.95302,0.63636,-0.26667
0.60417,0.92617,0.54545,-0.33333
0.64583,0.89262,0.45455,-0.46667
0.68056,0.84564,0.18182,-0.26667
0.69444,0.81879,0.63636,-0.86667
0.74306,0.73154,0.27273,-0.60000
0.76389,0.67114,0.18182,-0.33333
0.77778,0.63758,0.27273,-0.66667
0.79861,0.57047,0.36364,-1.00000
0.82639,0.46980,0.09091,-0.40000
0.83333,0.42953,0.18182,-0.60000
0.84722,0.36913,0.09091,-0.66667
0.85417,0.30201,0.09091,-0.86667
0.86111,0.21477,0.09091,-0.86667
0.86806,0.12752,0.09091,-0.26667
0.87500,0.10067,0.09091,-0.33333
0.88194,0.06711,-0.09091,-0.20000
0.87500,0.04698,0.09091,-0.20000
0.88194,0.02685,0.09091,-0.13333
0.88889,0.01342,-0.09091,-0.06667
0.88194,0.00671,0.09091,-0.06667
0.88889,0.00000,0.00000,0.00000
0.88889,0.00000,-0.09091,0.00000
0.88194,0.00000,0.09091,0.13333
0.88889,0.01342,-0.09091,0.06667
0.88194,0.02013,0.00000,0.26667
0.88194,0.04698,-0.09091,0.13333
0.87500,0.06040,0.09091,0.06667
0.88194,0.06711,0.00000,0.26667
0.88194,0.09396,-0.09091,0.33333
0.87500,0.12752,0.09091,0.33333
0.88194,0.16107,0.00000,0.33333
0.88194,0.19463,-0.09091,0.40000
0.87500,0.23490,-0.09091,0.26667
0.86806,0.26174,0.00000,0.73333
0.86806,0.33557,0.09091,0.26667
0.87500,0.36242,-0.09091,0.80000
0.86806,0.44295,0.00000,0.53333
0.86806,0.49664,0.09091,0.60000
0.87500,0.55705,-0.09091,0.53333
0.86806,0.61074,-0.09091,0.60000
0.86111,0.67114,0.00000,0.53333
0.86111,0.72483,-0.18182,1.00000
0.84722,0.82550,0.00000,0.53333
0.84722,0.87919,0.00000,0.26667
0.84722,0.90604,0.00000,0.33333
0.84722,0.93960,0.09091,0.33333
0.85417,0.97315,0.09091,0.20000
0.86111,0.99329,0.09091,0.06667
0.86806,1.00000,0.18182,-0.06667
0.88194,0.99329,0.09091,-0.20000
0.88889,0.97315,0.18182,-0.20000
0.90278,0.95302,0.27273,-0.40000
0.92361,0.91275,0.18182,-0.40000
0.93750,0.87248,0.09091,-0.46667
0.94444,0.82550,0.18182,-0.40000
0.95833,0.78523,0.00000,-0.33333
0.95833,0.75168,0.18182,-0.66667
0.97222,0.68456,0.09091,-0.26667
0.97917,0.65772,0.09091,-0.40000
0.98611,0.61745,0.09091,-0.33333
0.99306,0.58389,0.00000,-0.33333
0.99306,0.55034,0.00000,-0.33333
0.99306,0.51678,0.09091,-0.26667
1.00000,0.48993,-0.09091,-0.13333
0.99306,0.47651,-0.09091,-0.26667
0.98611,0.44966,-0.09091,-0.20000
0.97917,0.42953,-0.09091,0.00000
0.97222,0.42953,-0.09091,-0.06667
0.96528,0.42282,-0.18182,-0.06667
0.95139,0.41611,-0.18182,0.00000
0.93750,0.41611,-0.09091,0.06667
0.93056,0.42282,-0.36364,0.13333
0.90278,0.43624,-0.27273,0.20000
0.88194,0.45638,-0.27273,0.20000
0.86111,0.47651,-0.27273,0.20000
0.84028,0.49664,-0.27273,0.20000
0.81944,0.51678,-0.27273,0.20000
0.79861,0.53691,-0.36364,0.20000
0.77083,0.55705,-0.45455,0.33333
0.73611,0.59060,-0.27273,0.13333
0.71528,0.60403,-0.45455,0.20000
0.68056,0.62416,-0.63636,0.40000
0.63194,0.66443,-0.45455,0.13333
0.59722,0.67785,-0.45455,0.13333
0.56250,0.69128,-0.54545,0.26667
0.52083,0.71812,-0.54545,0.13333
0.47917,0.73154,-0.18182,0.06667
0.46528,0.73826,-0.63636,0.13333
0.41667,0.75168,-0.45455,0.06667
0.38194,0.75839,-0.54545,0.06667
0.34028,0.76510,-0.72727,0.00000
0.28472,0.76510,-0.36364,0.00000
0.25694,0.76510,-0.45455,-0.06667
0.22222,0.75839,-0.45455,-0.13333
0.18750,0.74497,-0.27273,-0.13333
0.16667,0.73154,-0.45455,-0.20000
0.13194,0.71141,-0.27273,-0.20000
0.11111,0.69128,-0.36364,-0.20000
0.08333,0.67114,-0.27273,-0.26667
0.06250,0.64430,-0.27273,-0.40000
0.04167,0.60403,-0.18182,-0.26667
0.02778,0.57718,-0.09091,-0.26667
0.02083,0.55034,-0.09091,-0.33333
0.01389,0.51678,-0.09091,-0.26667
0.00694,0.48993,0.00000,-0.26667
0.00694,0.46309,0.00000,-0.26667
0.00694,0.43624,0.00000,-0.13333
0.00694,0.42282,0.09091,-0.20000
0.01389,0.40268,0.00000,-0.06667
0.01389,0.39597,0.09091,-0.13333
0.02083,0.38255,0.00000,0.06667
0.02083,0.38926,0.00000,0.06667
0.02083,0.39597,0.00000,0.13333
0.02083,0.40940,0.00000,0.26667
0.02083,0.43624,0.00000,0.00000
